factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,37,19,0.38,0.514,0.437
16,remove,37,19,0.38,0.514,0.437
16,edsr,38,21,0.42,0.553,0.477
16,spkres,37,19,0.38,0.514,0.437
8,krig,36,18,0.36,0.5,0.419
8,remove,37,21,0.42,0.568,0.483
8,edsr,41,21,0.42,0.512,0.462
8,spkres,40,21,0.42,0.525,0.467
4,krig,35,19,0.38,0.543,0.447
4,remove,36,19,0.38,0.528,0.442
4,edsr,45,27,0.54,0.6,0.568
4,spkres,42,24,0.48,0.571,0.522
2,krig,34,15,0.3,0.441,0.357
2,remove,37,21,0.42,0.568,0.483
2,edsr,44,24,0.48,0.545,0.511
2,spkres,43,21,0.42,0.488,0.452
