factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,65,46,0.767,0.708,0.736
16,remove,61,45,0.75,0.738,0.744
16,edsr,65,50,0.833,0.769,0.8
16,spkres,63,48,0.8,0.762,0.78
8,krig,62,48,0.8,0.774,0.787
8,remove,60,46,0.767,0.767,0.767
8,edsr,65,46,0.767,0.708,0.736
8,spkres,62,50,0.833,0.806,0.82
4,krig,63,40,0.667,0.635,0.65
4,remove,61,40,0.667,0.656,0.661
4,edsr,65,39,0.65,0.6,0.624
4,spkres,66,40,0.667,0.606,0.635
2,krig,55,40,0.667,0.727,0.696
2,remove,49,35,0.583,0.714,0.642
2,edsr,63,30,0.5,0.476,0.488
2,spkres,65,39,0.65,0.6,0.624
